Function,Abbreviation,Control_ID,Control,AWS_Service,Severity,Status,Detail,Remediation
GOVERN,GV,GV-01,IAM Password Policy - Minimum 14 Characters,iam,HIGH,PASS,Password policy requires 15-character minimum,
GOVERN,GV,GV-02,Root Account MFA Enabled,iam,HIGH,PASS,Root account has MFA enabled,
GOVERN,GV,GV-03,AWS Organizations Configured,organizations,MEDIUM,UNKNOWN,Permission denied — check IAM policy,
GOVERN,GV,GV-04,Root Account No Active Access Keys,iam,HIGH,PASS,Root account has no active access keys,
IDENTIFY,ID,ID-01,AWS Config Recorder Enabled,config,HIGH,UNKNOWN,Permission denied — check IAM policy,
IDENTIFY,ID,ID-02,IAM Access Analyzer Active,accessanalyzer,HIGH,UNKNOWN,Permission denied — check IAM policy,
IDENTIFY,ID,ID-03,CloudTrail Multi-Region Enabled,cloudtrail,HIGH,UNKNOWN,Permission denied — check IAM policy,
IDENTIFY,ID,ID-04,AWS Config Delivery Channel Configured,config,MEDIUM,UNKNOWN,Permission denied — check IAM policy,
DETECT,DE,DE-01,GuardDuty Enabled,guardduty,HIGH,UNKNOWN,Permission denied — check IAM policy,
DETECT,DE,DE-02,Security Hub Enabled,securityhub,HIGH,UNKNOWN,Permission denied — check IAM policy,
DETECT,DE,DE-03,CloudTrail Logging Active,cloudtrail,HIGH,UNKNOWN,Permission denied — check IAM policy,
DETECT,DE,DE-04,CloudWatch Alarms Exist,cloudwatch,MEDIUM,PASS,100 CloudWatch alarm(s) exist in region,
RECOVER,RC,RC-01,AWS Backup Plans Exist,backup,HIGH,UNKNOWN,Permission denied — check IAM policy,
RECOVER,RC,RC-02,CloudFormation Stacks Exist,cloudformation,MEDIUM,UNKNOWN,AWS API error: AccessDenied,
RECOVER,RC,RC-03,S3 Bucket Versioning Enabled,s3,HIGH,PASS,S3 bucket 'anitian-wwt-guardrails-terraform-state' has versioning enabled for data recovery,
,,,,,,,,
Function,Total_Checks,Passed,Failed,Unknown,Compliance_Pct,,,
GOVERN,4,3,0,1,75,,,
IDENTIFY,4,0,0,4,0,,,
DETECT,4,1,0,3,25,,,
RECOVER,3,1,0,2,33.3,,,
,,,,,,,,
OVERALL,15,5,0,10,33.3,,,
